date, pm25, pm10, o3, no2, so2, co
2022/12/2, 39, 17, 15, 7, , 
2022/12/3, 55, 16, 14, 5, , 
2022/12/4, 56, 12, 17, 7, , 
2022/12/5, 44, 19, 18, 16, , 
2022/12/6, 58, 23, 7, 15, , 
2022/12/7, 71, 22, 14, 11, , 
2022/12/8, 68, 21, 3, 11, , 
2022/12/9, 65, 12, 19, 8, , 
2022/12/10, 42, 12, 23, 6, , 
2022/12/11, 44, 20, 20, 12, , 
2022/12/12, 62, 13, 23, 8, , 
2022/12/13, 43, 16, 15, 9, , 
2022/12/14, 49, 11, 23, 6, , 
2022/12/15, 31, 12, 20, 7, , 
2022/12/16, 38, 3, 15, 5, , 
2022/12/17, 11, 13, 11, 5, , 
2022/12/18, 42, 18, 12, 8, , 
2022/12/19, 59, 23, 11, 11, , 
2022/12/20, 69, , , , , 
2022/11/2, 10, 8, 26, 4, , 
2022/11/3, 21, 7, 30, 6, , 
2022/11/4, 16, 9, 29, 1, , 
2022/11/5, 20, 9, 24, 5, , 
2022/11/6, 24, 8, 32, 5, , 
2022/11/7, 24, 11, 21, 11, , 
2022/11/8, 31, 16, 18, 12, , 
2022/11/9, 36, 9, 22, 7, , 
2022/11/10, 28, 8, 21, 8, , 
2022/11/11, 24, 14, 24, 9, , 
2022/11/12, 41, 12, 26, 7, , 
2022/11/13, 34, 15, 24, 8, , 
2022/11/14, 39, 11, 19, 8, , 
2022/11/15, 29, 8, 23, 7, , 
2022/11/16, 23, 9, 21, 8, , 
2022/11/17, 27, 11, 29, 2, , 
2022/11/18, 29, 4, 26, 4, , 
2022/11/19, 10, 6, 29, 4, , 
2022/11/20, 19, 9, 31, 5, , 
2022/11/21, 33, 3, 32, 2, , 
2022/11/22, 10, 4, 31, 3, , 
2022/11/23, 11, 10, 31, 4, , 
2022/11/24, 28, 11, 23, 8, , 
2022/11/25, 30, 9, 28, 6, , 
2022/11/26, 30, 9, 31, 8, , 
2022/11/27, 29, 19, 10, 11, , 
2022/11/28, 58, 5, 29, 3, , 
2022/11/29, 16, 6, 27, 5, , 
2022/11/30, 18, 11, 15, 7, , 
2022/12/1, 38, 10, 14, 3, , 
2022/10/2, 5, 5, 26, 3, , 
2022/10/3, 9, 7, 26, 4, , 
2022/10/4, 13, 9, 36, 6, , 
2022/10/5, 15, 14, 37, 7, , 
2022/10/6, 20, 25, 33, 3, , 
2022/10/7, 44, 32, 33, 5, , 
2022/10/8, 47, 21, 30, 2, , 
2022/10/9, 44, 28, 31, 3, , 
2022/10/10, 48, 28, 28, 5, , 
2022/10/11, 49, 20, 26, 3, , 
2022/10/12, 45, 14, 25, 3, , 
2022/10/13, 36, 12, 27, 3, , 
2022/10/14, 25, 7, 19, 3, , 
2022/10/15, 11, 6, 26, 4, , 
2022/10/16, 9, 11, 32, 4, , 
2022/10/17, 22, 19, 32, 4, , 
2022/10/18, 26, 21, 29, 9, , 
2022/10/19, 36, 41, 23, 7, , 
2022/10/20, 55, 12, 24, 6, , 
2022/10/21, 15, 9, 33, 8, , 
2022/10/22, 11, 4, 30, 4, , 
2022/10/23, 5, 13, 35, 2, , 
2022/10/24, 21, 10, 31, 7, , 
2022/10/25, 14, 27, 31, 9, , 
2022/10/26, 36, 25, 23, 9, , 
2022/10/27, 37, 33, 28, 5, , 
2022/10/28, 43, 37, 29, 8, , 
2022/10/29, 53, 21, 34, 5, , 
2022/10/30, 32, 18, 35, 4, , 
2022/10/31, 35, 15, 25, 5, , 
2022/11/1, 32, 4, 27, 2, , 
2022/9/2, 27, 11, 41, 2, , 
2022/9/3, 21, 8, 35, 1, , 
2022/9/4, 12, 5, 35, 2, , 
2022/9/5, 16, 8, 42, 2, , 
2022/9/6, 23, 13, 41, 4, , 
2022/9/7, 24, 10, 41, 3, , 
2022/9/8, 18, 11, 39, 3, , 
2022/9/9, 19, 7, 29, 3, , 
2022/9/10, 13, 5, 32, 3, , 
2022/9/11, 9, 6, 36, 3, , 
2022/9/12, 8, 23, 32, 5, , 
2022/9/13, 32, 14, 30, 4, , 
2022/9/14, 19, 9, 36, 3, , 
2022/9/15, 15, 8, 34, 5, , 
2022/9/16, 12, 8, 31, 1, , 
2022/9/17, 14, 9, 37, 2, , 
2022/9/18, 21, 6, 38, 3, , 
2022/9/19, 13, 7, 40, 5, , 
2022/9/21, 21, 11, 40, 4, , 
2022/9/22, 19, 12, 45, 5, , 
2022/9/23, 20, 17, 36, 6, , 
2022/9/24, 40, 7, 33, 2, , 
2022/9/25, 14, 5, 33, 1, , 
2022/9/26, 10, 5, 34, 2, , 
2022/9/27, 10, 5, 32, 1, , 
2022/9/28, 12, 4, 30, 1, , 
2022/9/29, 6, 3, 26, 1, , 
