date, pm25, o3, no2, so2, co
2022/10/2, 49, , 22, , 5
2022/10/3, 65, , 33, , 6
2022/10/4, 76, , 22, , 5
2022/10/5, 55, , 17, , 4
2022/10/6, 57, , 20, , 6
2022/10/7, 75, , 30, , 8
2022/10/8, 84, , 26, , 7
2022/10/9, 84, , 26, , 7
2022/10/10, 84, , , , 5
2022/10/11, 75, , 17, , 3
2022/10/12, 35, , 16, , 3
2022/10/13, 59, , 28, , 6
2022/10/14, 88, , 23, , 6
2022/10/15, 80, , 23, , 8
2022/10/16, 124, , 26, , 7
2022/10/17, 90, , , , 4
2022/10/18, 66, , 25, , 6
2022/10/19, 91, , 33, , 10
2022/10/20, 167, , 31, , 13
2022/10/21, 174, , 15, , 2
2022/10/22, 32, , 13, , 3
2022/10/23, 24, , 10, , 3
2022/10/24, 33, , 14, , 2
2022/10/25, 22, , 13, , 2
2022/10/26, 19, , 13, , 3
2022/10/27, 27, , 11, , 2
2022/10/28, 29, , 20, , 4
2022/10/29, 33, , 13, , 4
2022/10/30, 43, , 7, , 2
2022/10/31, 27, , , , 2
2022/11/1, 21, , 9, , 3
2022/11/2, 25, , 18, , 3
2022/11/3, 29, , 13, , 3
2022/11/4, 39, , 10, , 2
2022/11/5, 17, , 9, , 2
2022/11/6, 24, , 9, , 2
2022/11/7, 20, , 12, , 2
2022/11/8, 18, , 6, , 2
2022/11/9, 28, , 13, , 4
2022/11/10, 43, , 16, , 4
2022/11/11, 54, , 17, , 4
2022/11/12, 41, , 14, , 4
2022/11/13, 55, , 11, , 4
2022/11/14, 58, , 11, , 2
2022/11/15, 47, , 17, , 4
2022/11/16, 44, , 17, , 3
2022/11/17, 54, , 14, , 3
2022/11/18, 35, , 17, , 3
2022/11/19, 34, , 21, , 5
2022/11/20, 55, , 24, , 8
2022/11/21, 74, , 22, , 6
2022/11/22, 67, , 20, , 4
2022/11/23, 45, , 20, , 5
2022/11/24, 30, , 15, , 5
2022/11/25, 36, , 12, , 3
2022/11/26, 25, , 12, , 3
2022/11/27, 24, , 8, , 2
2022/11/28, 14, , 12, , 2
2022/11/29, 20, , 8, , 2
2022/11/30, 19, , 14, , 3
2022/12/1, 20, , 12, , 2
2022/12/2, 25, , 13, , 2
2022/12/3, 21, , 9, , 2
2022/12/4, 21, , 12, , 2
2022/12/5, 25, , 17, , 3
2022/12/6, 33, , 18, , 4
2022/12/7, 31, , 15, , 3
2022/12/8, 18, , 9, , 2
2022/12/9, 16, , , , 2
2022/12/10, 18, , , , 2
2022/12/11, 19, , , , 2
2022/12/12, 18, , , , 3
2022/12/13, 16, , 14, , 3
2022/12/14, 27, , 11, , 2
2022/12/15, 24, , 12, , 2
2022/12/16, 27, , 14, , 4
2022/12/23, 19, , 12, , 2
2022/12/24, 28, , 13, , 2
2022/12/25, 20, , 11, , 3
2022/12/26, 26, , 4, , 2
2022/12/27, 26, , 10, , 2
2022/12/28, 22, , 13, , 2
2022/12/29, 29, , 17, , 4
2022/12/30, 27, , 11, , 2
2022/12/31, 32, , 12, , 3
2023/1/1, 32, , 13, , 3
2023/1/2, 45, , , , 
2022/7/2, 31, , 7, , 2
2022/7/3, 29, , 5, , 1
2022/7/4, 25, , 7, , 2
2022/7/5, 27, , 15, , 3
2022/7/6, 44, , 17, , 3
2022/7/7, 37, , 11, , 3
2022/7/8, 22, , 12, , 3
2022/7/9, 21, , 9, , 1
2022/7/10, 18, , 7, , 2
2022/7/11, 19, , 8, , 2
2022/7/12, 16, , 7, , 1
2022/7/13, 23, , 7, , 2
2022/7/14, 22, , 12, , 2
2022/7/15, 29, , 10, , 2
2022/7/16, 24, , 6, , 2
2022/7/17, 12, , 6, , 1
2022/7/18, 14, , 11, , 2
2022/7/19, 27, , 9, , 2
2022/7/20, 22, , 15, , 3
2022/7/21, 28, , 18, , 4
2022/7/22, 35, , 11, , 3
2022/7/23, 20, , 12, , 3
2022/7/24, 28, , 13, , 3
2022/7/25, 34, , 17, , 3
2022/7/26, 41, , 28, , 4
2022/7/27, 48, , 25, , 4
2022/7/28, 52, , 21, , 4
2022/7/29, 42, , 27, , 5
2022/7/30, 50, , 26, , 5
2022/7/31, 54, , 24, , 4
2022/8/1, 49, , 11, , 3
2022/8/2, 26, , 14, , 3
2022/8/3, 26, , 12, , 2
2022/8/4, 24, , 7, , 1
2022/8/5, 17, , 7, , 1
2022/8/12, 28, , 16, , 3
2022/8/13, 35, , 7, , 2
2022/8/14, 18, , 13, , 3
2022/8/15, 24, , 19, , 4
2022/8/16, 35, , 12, , 3
2022/8/17, 31, , 12, , 2
2022/8/18, 27, , 42, , 7
2022/8/19, 60, , 20, , 3
2022/8/20, 40, , 9, , 2
2022/8/21, 20, , 12, , 3
2022/8/22, 23, , 16, , 3
2022/8/23, 31, , 17, , 3
2022/8/24, 33, , 23, , 4
2022/8/25, 43, , 28, , 5
2022/8/26, 56, , 9, , 2
2022/8/27, 26, , 12, , 3
2022/8/28, 30, , 11, , 2
2022/8/29, 36, , 11, , 2
2022/8/30, 26, , 19, , 4
2022/8/31, 43, , 22, , 4
2022/9/1, 50, , 18, , 3
2022/9/2, 37, , 21, , 4
2022/9/3, 40, , 7, , 2
2022/9/4, 21, , 5, , 2
2022/9/5, 20, , 6, , 2
2022/9/6, 18, , 13, , 3
2022/9/7, 30, , 8, , 2
2022/9/8, 25, , 11, , 2
2022/9/9, 28, , 7, , 2
2022/9/10, 47, , 23, , 8
2022/9/11, 112, , 14, , 4
2022/9/12, 92, , 16, , 4
2022/9/13, 72, , 18, , 4
2022/9/14, 58, , 19, , 4
2022/9/15, 55, , 18, , 4
2022/9/16, 52, , 11, , 2
2022/9/17, 26, , 6, , 1
2022/9/18, 23, , 7, , 2
2022/9/19, 23, , 23, , 5
2022/9/20, 41, , 11, , 3
