date, pm25, pm10, o3, no2, so2
2022/10/2, 25, 14, 31, , 
2022/10/3, 27, 15, 29, , 
2022/10/4, 31, 22, 32, , 
2022/10/5, 49, 27, 31, , 
2022/10/6, 56, 23, 34, , 
2022/10/7, 52, 30, 35, , 
2022/10/8, 53, 27, 33, , 
2022/10/9, 48, 31, 32, , 
2022/10/10, 47, 25, 36, , 
2022/10/11, 41, 24, 36, , 
2022/10/12, 46, 21, 33, , 
2022/10/13, 44, 16, 34, , 
2022/10/14, 37, 14, 34, , 
2022/10/15, 33, 13, 30, , 
2022/10/16, 28, 14, 31, , 
2022/10/17, 33, 19, 33, , 
2022/10/18, 45, 27, 39, , 
2022/10/19, 54, 18, 32, , 
2022/10/20, 28, 18, 40, , 
2022/10/21, 31, 30, 37, , 
2022/10/22, 57, 19, 32, , 
2022/10/23, 43, 23, 31, , 
2022/10/24, 42, 24, 30, , 
2022/10/25, 38, 20, 32, , 
2022/10/26, 24, 26, 30, , 
2022/10/27, 42, 32, 34, , 
2022/10/28, 52, 32, 42, , 
2022/10/29, 56, 26, 36, , 
2022/10/30, 49, 27, 40, , 
2022/10/31, 51, 30, 38, , 
2022/11/1, 51, 28, 31, , 
2022/11/2, 51, 17, 30, , 
2022/11/3, 30, 17, 29, , 
2022/11/4, 24, 16, 29, , 
2022/11/5, 25, 17, 30, , 
2022/11/6, 29, 21, 29, , 
2022/11/7, 41, 19, 20, , 
2022/11/8, 36, 10, 26, , 
2022/11/9, 18, 13, 28, , 
2022/11/10, 25, 13, 27, , 
2022/11/11, 25, 14, 25, , 
2022/11/12, 26, 17, 33, , 
2022/11/13, 35, 20, 33, , 
2022/11/14, 46, 18, 28, , 
2022/11/15, 33, 21, 30, , 
2022/11/16, 38, 26, 25, , 
2022/11/17, 40, 23, 22, 500, 
2022/11/18, 31, 25, 30, , 
2022/11/19, 44, 26, 26, , 
2022/11/20, 50, 19, 26, , 
2022/11/21, 32, 19, 25, , 
2022/11/22, 29, 21, 29, , 
2022/11/23, 35, 25, 30, , 
2022/11/24, 43, 30, 31, , 
2022/11/25, 36, 18, 29, , 
2022/11/26, 29, 20, 31, , 
2022/11/27, 33, 24, 33, , 
2022/11/28, 47, 30, 34, , 
2022/11/29, 58, 23, 29, , 
2022/11/30, 42, 22, 30, , 
2022/12/1, 42, 19, 32, , 
2022/12/2, 31, 14, 27, , 
2022/12/3, 22, 21, 12, , 
2022/12/4, 48, 15, 19, , 
2022/12/5, 40, 16, 28, , 
2022/12/6, 33, 14, 28, , 
2022/12/7, 29, 13, 29, , 
2022/12/8, 27, 15, 28, , 
2022/12/9, 30, 18, 26, , 
2022/12/10, 38, 18, 25, , 
2022/12/11, 42, 16, 25, , 
2022/12/12, 34, 13, 25, , 
2022/12/13, 28, 15, 26, , 
2022/12/14, 33, 18, 21, , 
2022/12/15, 41, 22, 18, , 
2022/12/16, 53, 23, 21, , 
